_id,",brand
141599882,Apple,"Ноутбук Apple MacBook 12.0""
142088593,Dell,"Ноутбук Dell Vostro
141018310,Dell,"Dell Vostro 5468-3317
141018312,Dell,"Ноутбук Dell Inspiron 3552
140113571,Lenovo,"Ноутбук Lenovo V110
140113573,Lenovo,"Ноутбук Lenovo V310
140493511,Acer,"Acer Aspire ES1-131-C9Y6
140493513,Lenovo,"Lenovo IdeaPad 100S-11IBY
140493519,Acer,Acer Aspire S5-371-33RL (NX.GCHER.003)
140493535,Lenovo,Lenovo Yoga 510-14ISK (80S7005JRK)
140493558,Acer,Acer Extensa EX2519-C7DW (NX.EFAER.039)
140493559,Acer,Acer Extensa EX2519-C8EG (NX.EFAER.030)
140493561,Acer,"Ноутбук Acer Extensa EX2519
140493562,Acer,Acer Extensa EX2520-51D5 (NX.EFBER.003)
140493568,Acer,Acer Extensa EX2520G-52D8 (NX.EFDER.001)
140493570,Acer,Acer Extensa EX2520G-53ZF (NX.EFDER.015)
140493583,Lenovo,"Lenovo IdeaPad 110-15ACL
140493593,Lenovo,Lenovo IdeaPad 310-15ABR (80ST002WRK)
140493598,Lenovo,Lenovo IdeaPad 310-15ISK (80SM00VGRK)
140493599,Lenovo,Lenovo IdeaPad 310-15ISK (80SM00VMRK)
140493611,Lenovo,Lenovo IdeaPad V110-15IAP (80TG001PRK)
141186746,Dell,"Dell XPS 15 (9560-8046)
141186758,MSI,"MSI GP62M 7RDX-1005RU Leopard
141186775,MSI,"MSI GT72VR 7RE-653RU Dominator Pro
141536729,HP,"HP 15-bw508ur
141536730,HP,"Ноутбук HP 15-bw507ur
141536731,HP,"Ноутбук HP 15-bw072ur
141536733,HP,"Ноутбук HP 15-bw033ur
141536734,HP,"Ноутбук HP 15-bw031ur
141186745,Acer,"Acer Switch V10 SW5-017-11FU
141186753,MSI,"Игровой ноутбук MSI Leopard Pro
141186755,MSI,"MSI GP62M 7RDX-1002RU Leopard
141186760,MSI,"MSI GP72 7REX-674RU Leopard Pro
141186770,MSI,"MSI GP72 7RDX-485RU Leopard
141186773,MSI,"MSI GP72VR 7RFX-477RU Leopard Pro
141536719,HP,"HP 15-bw014ur
141536732,HP,"Ноутбук HP 15-bw071ur
141186750,MSI,"Игровой ноутбук MSI Apache Pro
141186763,MSI,"MSI GP72 7REX-675RU Leopard Pro
141186766,MSI,"MSI GP72 7RDX-483RU Leopard
141186768,MSI,"MSI GP72 7RDX-484RU Leopard
141536707,HP,"Ноутбук HP 15-bw082ur
141536721,HP,"Ноутбук HP 15-bw535ur
141536722,HP,"Ноутбук HP 15-bw534ur
141186769,MSI,"MSI GP72 7RDX-487XRU Leopard
141536711,HP,"Ноутбук HP 15-bw018ur
141536712,HP,"Ноутбук HP 15-bw067ur
141536723,HP,"Ноутбук HP 15-bw090ur
141536726,HP,"Ноутбук HP 15-bw531ur
141536735,HP,"Ноутбук HP 15-bw029ur
141277338,Apple,"Ноутбук Apple MacBook Air 13""
141186752,MSI,"MSI GE72VR 7RF-602RU Apache Pro
141186754,MSI,"Игровой ноутбук MSI Leopard Pro
141536713,HP,"Ноутбук HP 15-bw017ur
141536717,HP,"Ноутбук HP 15-bw059ur
141536718,HP,"Ноутбук HP 15-bw015ur
141536728,HP,"Ноутбук HP 15-bw509ur
141277340,Apple,"Ноутбук Apple MacBook Pro 13""
141664890,Lenovo,Lenovo IdeaPad 110-14IBR (80T6009FRK)
141664891,Lenovo,"Lenovo IdeaPad 310-15IAP
141542729,Apple,"Ноутбук Apple MacBook Pro 15.4""
141542727,Apple,"Ноутбук Apple MacBook Pro
140981878,ASUS,"ASUS ZenBook UX310UQ
141664887,Lenovo,"Lenovo IdeaPad 310-15IAP
141664889,Lenovo,"Lenovo IdeaPad 310-15IKB
141664882,Lenovo,"Lenovo IdeaPad 310-15ISK
141664883,Lenovo,"Lenovo IdeaPad 310-15ISK
141664885,Lenovo,"Lenovo IdeaPad 310-15ISK
141664886,Lenovo,"Lenovo IdeaPad 310-15IAP
141798388,MSI,"Ноутбук MSI Titan Pro
141798390,MSI,"MSI GT73EVR 7RE-856RU Titan
141798419,MSI,"MSI GP62M 7RDX-1661XRU Leopard
141798420,MSI,"Ноутбук MSI Leopard
141798421,MSI,"MSI GP62M 7RDX-1662XRU Leopard
141798422,MSI,"MSI GL62M 7RD-1673RU
141453229,Apple,"Ноутбук Apple MacBook Pro 15""
141460077,MSI,"Игровой ноутбук MSI Stealth Pro
141460089,Dell,"Dell Vostro 5468-9845
141460071,MSI,"MSI GP72 7REX-492RU Leopard Pro
141460072,MSI,"MSI GP72VR 7RF-421RU Leopard Pro
141460088,Dell,"Dell Inspiron 7567-2018
141798393,MSI,"MSI GE73VR 7RF-061RU
141798395,MSI,"Игровой ноутбук MSI GP72MVR 7RFX-635RU Leopard Pro
141798402,MSI,"MSI GP72M 7RDX-1016RU Leopard
141798416,MSI,"Игровой ноутбук MSI Leopard Pro
141460083,Dell,"Dell Inspiron 5567-1981
141460084,Dell,"Dell Inspiron 5567-1998
141460085,Dell,"Dell Inspiron 5567-2025
141798392,MSI,"MSI GE73VR 7RF-060RU
141798401,MSI,"MSI GP72M 7REX-1015XRU Leopard Pro
141798403,MSI,"Игровой ноутбук MSI Leopard
141798404,MSI,"MSI GP72M 7RDX-1020XRU Leopard
141798406,MSI,"MSI GP72M 7RDX-1021XRU Leopard
141798407,MSI,"Ноутбук MSI Leopard
141798409,MSI,"Игровой ноутбук MSI GT62VR 7RE-426RU Dominator Pro
141460068,ASUS,"ASUS X556UQ
141460069,MSI,MSI GE62VR 7RF-690RU Apache Pro Camo Squad
141460086,Dell,"Dell Inspiron 5567-2032
141798396,MSI,"Игровой ноутбук MSI Leopard Pro
141798413,MSI,"Игровой ноутбук MSI 
141714497,Dell,"Ноутбук Dell Inspiron
141581131,Dell,"Dell Inspiron 5567-3553
141733792,HP,"HP 15-ba608ur
141733794,Acer,"Acer Swift 1 SF114-31-C744
141960190,ASUS,"ASUS X756UQ
141960191,ASUS,"ASUS VivoBook Max X541NA
141960192,ASUS,"ASUS VivoBook Max X541UJ
141960197,ASUS,"ASUS VivoBook Max X541UJ
141970478,Dell,"Ноутбук Dell Vostro
142327235,HP,HP Probook 430 (Y7Z48EA)
141519951,Acer,"Ноутбук Acer Extensa EX2540
141520780,Lenovo,"Lenovo IdeaPad V110-17ISK
142923836,Prestigio,"Prestigio Smartbook 141C
141970479,Dell,"Ноутбук Dell Vostro
143112652,MSI,"Ноутбук MSI 
143112655,MSI,"MSI GP72M 7RDX-1240XRU Leopard
143112659,MSI,"MSI GP62MVR 7RFX-1031RU Leopard Pro
143112660,MSI,"MSI GP62MVR 7RFX-1032XRU Leopard Pro
141927275,Dell,"Dell Inspiron 5767-1899
142101170,MSI,"Игровой ноутбук MSI GS63 7RD-064RU Stealth
141927276,Dell,"Ноутбук Dell Inspiron
141927277,Dell,"Dell Inspiron 5767-2179
141960189,ASUS,"ASUS X756UV
141960195,ASUS,"Ноутбук ASUS X751NV
141960199,ASUS,"ASUS VivoBook Max X541NA
142051244,Prestigio,"Ноутбук Prestigio SmartBook 141C
142331010,Acer,"Ноутбук Acer TravelMate TMP259-MG-39DR
142331011,Acer,"Ноутбук Acer TravelMate TMP259-MG-39WS
143112661,MSI,"Игровой ноутбук MSI GL62M 7REX-2093XRU
143112662,MSI,"Игровой ноутбук MSI GL62M 7REX-2094XRU
141960210,Dell,"Ноутбук Dell XPS 13 2-in-1
141880477,Prestigio,"Ноутбук Prestigio SmartBook 133S
141960196,ASUS,"Ноутбук ASUS X751NA
141960208,Dell,"Dell XPS 13 2-in-1 9365-0932
141519946,Acer,"Acer TravelMate TMP238-M-31TQ
